max_price,min_price,price,stock_code,time,trade
"106,500","57,400","85,300",005930,2021.02.25 ,"33,708,989"
max_price,min_price,price,stock_code,time,trade
"106,500","57,400","85,300",005930,2021.02.25 ,"33,768,223"
max_price,min_price,price,stock_code,time,trade
"106,500","57,400","85,300",005930,2021.02.25 ,"33,768,223"
